"name","weightingms","discountsellingprice","price_per_gram"
"Harpic Germ & Stain Blaster Disinfectant Toilet Cleaner Floral",750,1.37,0.00
"Veeba Barbeque Sauce",330,1.37,0.00
"Popular Essentials Chana Dal (Un-Polished)",500,0.54,0.00
"Vim Dishwash Bar",300,0.22,0.00
"Parachute Oil ",100,0.37,0.00
"Tata Tea Gold",100,0.35,0.00
"Aashirvaad Atta",10000,3.99,0.00
"Rin Detergent Powder",1000,0.84,0.00
"Popular Essentials Red Poha",500,0.43,0.00
"Godrej Real Good Marinated Hot & Grill Chicken",450,2.21,0.00
"TGFC Basa Fillets",500,2.47,0.00
"Colgate Herbal Toothpaste",200,0.93,0.00
"MTR Vermicelli Payasam",180,0.75,0.00
"Godrej Protekt",750,0.99,0.00
"Himalaya Baby Powder",400,1.88,0.00
"Britannia Milk Bikis Milky Sandwich",120,0.25,0.00
"Robin Dazzling Liquid Blue After Wash",200,0.70,0.00
"Durex Extra Dots Condoms",580,2.05,0.00
"Del Monte Natural Vinegar ",180,0.53,0.00
"Dhara Health Refined Sun Flower Oil Jar",5000,9.84,0.00
"Amul Butter - Pasteurised",500,2.40,0.00
"Pantai Coconut Milk",400,1.50,0.00
"Britannia Good Day Cashew Cookies",1000,1.72,0.00
"Parle Fab! Jam-In Cream Filled ",150,0.34,0.00
"Popular Essentials Classic Sona Masuri Rice",5000,3.87,0.00
"Popular Essentials Nylon Til",100,0.39,0.00
"Suguna Nourish Egg ",348,0.60,0.00
"Savlon Moisture Shield Hand Wash",200,0.69,0.00
"Brinjal Small",250,0.15,0.00
"Suguna Heart- Omega3",348,0.62,0.00
"Lijjat Udad Mini Papad",200,0.56,0.00
"Amul Cheese - Pepper",200,0.82,0.00
"Popular Essentials Cooking Soda",200,0.27,0.00
"Dettol Original Germ Protection Bathing Soap Bar",375,1.57,0.00
"Britannia Good Day Cashew Cookies Packet",600,1.06,0.00
"Britannia Cheese Garlic Bread",300,0.35,0.00
"24 Mantra Organic Sattu Atta",500,0.95,0.00
"Tata Sampann High Protien Toor Dal - Split",500,0.89,0.00
"So Good Almond Milk - Natural Unsweetened",200,0.70,0.00
"Broccoli",500,0.30,0.00
"Sumeru Aloo Paratha",400,1.13,0.00
"Harpic Disinfectant Bathroom Cleaner Liquid Lemon",1000,1.79,0.00
"Godrej Cinthol Lime Refreshing Deo Soap",400,1.16,0.00
"Methi",250,0.25,0.00
"Dabur Gulabari Rose Water Daily Glow",250,0.75,0.00
"Popular Essentials Regular White Lobia",500,0.63,0.00
"Sunfeast Nice Biscuit",150,0.22,0.00
"Praakritik Organic Basmati Rice",500,1.70,0.00
"Mothers Recipe Tamrind Date Chutney ",200,0.50,0.00
"Dabur Amla Hair Oil",180,0.88,0.00
"Karachi Bakery Cashew Biscuits ",400,1.99,0.00
"Mother's Recipe Pickle - Red Stuffed Chilli",400,1.29,0.00
"Del Monte Green Chili Sauce",190,0.55,0.00
"Mother's Recipe Pickle - Mixed",500,1.09,0.00
"Dlicia Whip Topping Bottle",1000,1.71,0.00
"Shubh kart - Nirmal sugandhi mogra wet dhoop zipper 20 sticks",1160,0.28,0.00
"Oral-B Extra Soft Bristles Sensitive ",232,0.98,0.00
"Kellogg's Original Corn Flakes",475,1.75,0.00
"Popular Essentials Mustard Seeds Rai Big",100,0.20,0.00
"Parle Hide & Seek Cookies With Added Almonds",100,0.29,0.00
"Mother's Recipe Punjabi Teekha Mang Pickle",400,1.08,0.00
"Kapiva Wild Amla Juice",1000,2.12,0.00
"Oral-B Charcoal Deep Clean Stain Removal Toothbrush Medium",232,0.99,0.00
"Rin Fabric Whitener Detergent",500,0.62,0.00
"Suguna Sharp Egg ",348,0.62,0.00
"McCain New Mini Samosa with Cheese Pizza Style Filling",240,1.18,0.00
"Quaker Oats Breakfast Cereals - With Flavour Mix Nutritious Rich Source Of Energy",200,0.45,0.00
"Satyam Puffed Rice Kurmura (R)",200,0.23,0.00
"Parsley",100,0.14,0.00
"Amul Malai Paneer Fresh ",200,0.73,0.00
"Parachute Jasmine Hair Oil",190,0.74,0.00
"Popular Essentials Green Moong Whole",500,0.75,0.00
"Popular Essentials Green Peas (Un-Polished)",500,1.08,0.00
"The Bake Shop Pizza Base",150,0.30,0.00
"Nestle A+ Slim Milk",1000,0.89,0.00
"Praakritik Organic Poha",500,1.12,0.00
"24 Mantra Organic Tur Dal",1000,2.08,0.00
